type,ga_weeks,ga_days,L,M,S,p3,p10,p50,p90,p97,-2SD,-1.5SD,±0SD,+1.5SD,+2SD
weight_male_nulliparous,40,0,0.725,3094.186,0.109,2480,2672,3094,3533,3744,2443,2601,3094,3610,3786
weight_male_nulliparous,40,1,0.711,3106.724,0.108,2493,2684,3107,3546,3758,2455,2614,3107,3623,3800
weight_male_nulliparous,40,2,0.685,3131.347,0.108,2518,2709,3131,3573,3785,2481,2639,3131,3650,3828
weight_male_nulliparous,40,3,0.672,3143.457,0.107,2531,2721,3143,3585,3798,2493,2651,3143,3663,3841
weight_male_nulliparous,40,4,0.646,3167.344,0.107,2555,2745,3167,3611,3825,2518,2675,3167,3688,3868
weight_male_nulliparous,40,5,0.633,3179.148,0.106,2567,2757,3179,3623,3838,2530,2687,3179,3701,3881
weight_male_nulliparous,40,6,0.607,3202.542,0.106,2591,2780,3203,3648,3864,2554,2711,3203,3726,3907
weight_male_nulliparous,41,0,0.595,3214.154,0.105,2603,2792,3214,3660,3876,2566,2723,3214,3738,3920
weight_male_nulliparous,41,1,0.582,3225.724,0.105,2615,2804,3226,3672,3889,2578,2734,3226,3751,3933
weight_male_nulliparous,41,2,0.557,3248.767,0.104,2639,2827,3249,3696,3915,2602,2758,3249,3775,3959
weight_male_nulliparous,41,3,0.544,3260.254,0.104,2650,2838,3260,3709,3927,2614,2769,3260,3788,3971
weight_male_nulliparous,41,4,0.519,3283.183,0.104,2674,2862,3283,3733,3952,2637,2792,3283,3812,3997
weight_male_nulliparous,41,5,0.506,3294.632,0.103,2686,2873,3295,3745,3965,2649,2804,3295,3824,4009
weight_male_nulliparous,41,6,0.481,3317.514,0.103,2709,2896,3318,3769,3990,2673,2827,3318,3848,4035
weight_male_parous,22,0,0.682,449.386,0.150,329,366,449,538,581,321,352,449,554,590
weight_male_parous,22,1,0.683,459.642,0.150,336,374,460,550,595,329,360,460,566,604
weight_male_parous,22,2,0.686,480.156,0.150,351,391,480,575,621,344,376,480,592,630
weight_male_parous,22,3,0.687,490.415,0.150,359,399,490,587,634,351,384,490,604,644
weight_male_parous,22,4,0.690,510.946,0.149,374,416,511,612,661,366,401,511,629,670
weight_male_parous,22,5,0.691,521.222,0.149,381,424,521,624,674,373,409,521,642,684
weight_male_parous,22,6,0.694,541.809,0.149,396,441,542,648,700,388,425,542,667,711
weight_male_parous,23,0,0.696,552.127,0.149,404,450,552,661,713,395,433,552,680,724
weight_male_parous,23,1,0.697,562.465,0.149,412,458,562,673,727,403,441,562,692,738
weight_male_parous,23,2,0.700,583.214,0.149,427,475,583,698,753,417,457,583,718,765
weight_male_parous,23,3,0.701,593.630,0.149,435,484,594,710,767,425,466,594,731,778
weight_male_parous,23,4,0.704,614.559,0.149,450,501,615,735,794,440,482,615,756,805
weight_male_parous,23,5,0.706,625.079,0.149,458,509,625,748,807,448,490,625,769,819
weight_male_parous,23,6,0.708,646.244,0.149,473,527,646,773,834,463,507,646,795,846
weight_male_parous,24,0,0.710,656.895,0.149,481,535,657,785,848,470,515,657,808,860
weight_male_parous,24,1,0.711,667.594,0.149,489,544,668,798,861,478,524,668,821,874
weight_male_parous,24,2,0.714,689.150,0.148,505,562,689,824,889,494,541,689,847,902
weight_male_parous,24,3,0.716,700.011,0.148,513,571,700,837,903,501,549,700,861,916
weight_male_parous,24,4,0.719,721.915,0.148,529,589,722,863,931,517,567,722,887,945
weight_male_parous,24,5,0.720,732.961,0.148,537,598,733,876,945,525,575,733,901,959
weight_male_parous,24,6,0.723,755.250,0.148,553,616,755,902,973,541,593,755,928,988
weight_male_parous,25,0,0.724,766.497,0.148,562,625,766,916,988,549,602,766,942,1002
weight_male_parous,25,1,0.726,777.813,0.148,570,634,778,929,1002,557,611,778,956,1017
weight_male_parous,25,2,0.729,800.663,0.148,587,653,801,956,1031,574,629,801,983,1046
weight_male_parous,25,3,0.730,812.199,0.148,595,662,812,970,1046,582,638,812,997,1061
weight_male_parous,25,4,0.733,835.504,0.148,612,682,836,997,1076,599,656,836,1026,1092
weight_male_parous,25,5,0.735,847.274,0.148,621,691,847,1011,1091,607,665,847,1040,1107
weight_male_parous,25,6,0.738,871.053,0.147,639,711,871,1040,1121,625,684,871,1069,1137
weight_male_parous,26,0,0.739,883.061,0.147,648,721,883,1054,1136,633,694,883,1084,1153
weight_male_parous,26,1,0.741,895.149,0.147,656,730,895,1068,1152,642,703,895,1098,1168
weight_male_parous,26,2,0.744,919.569,0.147,675,750,920,1097,1183,660,723,920,1128,1200
weight_male_parous,26,3,0.746,931.903,0.147,684,761,932,1112,1198,669,732,932,1143,1216
weight_male_parous,26,4,0.749,956.828,0.147,702,781,957,1141,1230,687,752,957,1173,1248
weight_male_parous,26,5,0.751,969.421,0.147,711,791,969,1156,1246,696,762,969,1189,1264
weight_male_parous,26,6,0.754,994.873,0.147,730,812,995,1186,1278,714,782,995,1220,1297
weight_male_parous,27,0,0.756,1007.730,0.147,740,823,1008,1201,1295,723,792,1008,1235,1313
weight_male_parous,27,1,0.757,1020.690,0.147,749,834,1021,1217,1311,733,803,1021,1251,1330
weight_male_parous,27,2,0.761,1046.870,0.146,769,855,1047,1248,1344,752,823,1047,1283,1364
weight_male_parous,27,3,0.762,1060.110,0.146,778,866,1060,1263,1361,761,834,1060,1299,1381
weight_male_parous,27,4,0.766,1086.860,0.146,798,888,1087,1295,1395,781,855,1087,1331,1415
weight_male_parous,27,5,0.767,1100.380,0.146,808,899,1100,1311,1412,790,866,1100,1347,1432
weight_male_parous,27,6,0.771,1127.710,0.146,829,922,1128,1343,1446,810,887,1128,1380,1467
weight_male_parous,28,0,0.773,1141.520,0.146,839,933,1142,1359,1464,820,898,1142,1397,1485
weight_male_parous,28,1,0.775,1155.419,0.146,849,944,1155,1376,1481,830,909,1155,1414,1503
weight_male_parous,28,2,0.778,1183.499,0.146,870,967,1183,1409,1517,851,932,1183,1448,1539
weight_male_parous,28,3,0.780,1197.681,0.145,880,979,1198,1425,1535,861,943,1198,1465,1557
weight_male_parous,28,4,0.784,1226.334,0.145,902,1003,1226,1459,1571,882,966,1226,1500,1593
weight_male_parous,28,5,0.786,1240.807,0.145,913,1015,1241,1476,1589,892,977,1241,1517,1612
